"IndivYr","AnimalID","VI95","VI50","Dist","MigStatus","MigRank","Date","AvgDE","DEclass","AvgGHerb","AvgGShrub","AvgGForage","IFBF","preg_pspb","LactStatus","girthmass","adjmass","Age","HRarea"
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-08-14,2.67459338575783,"Marginal",0.780275163955725,45.4470996352995,46.2273747992552,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-08-15,2.6384437313031,"Marginal",1.22098928563382,45.1296158248634,46.3506051104972,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-08-16,2.47200032666209,"Marginal",3.68216557207812,159.077452478608,162.759618050686,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-08-17,2.40630149076377,"Marginal",1.25330255828722,306.181399242543,307.43470180083,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-08-18,2.61041207054105,"Marginal",4.85168933136635,14.8784688963979,19.7301582277642,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-08-19,2.62515450695061,"Marginal",5.12817470249368,137.790270917938,142.918445620432,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-08-20,2.4476614648621,"Marginal",1.0522696624081,257.795068609546,258.847338271954,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-08-21,2.61224637905713,"Marginal",1.93331386316841,231.921189843025,233.854503706193,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-08-22,2.58613232146964,"Marginal",2.96552515294768,112.130794534169,115.096319687117,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-08-23,2.56182662107628,"Marginal",3.85072837373695,25.7052026772678,29.5559310510047,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-08-24,2.58322659500434,"Marginal",2.90346914321981,28.4138222517644,31.3172913949842,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-08-25,2.63257337146333,"Marginal",3.47943387001855,30.4150784815597,33.8945123515782,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-08-26,2.6035093271645,"Marginal",4.34543796088496,36.1275806064869,40.4730185673719,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-08-27,2.5164322197994,"Marginal",4.18846889865693,44.0226085574921,48.211077456149,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-08-28,2.28445889920033,"Poor",0.389312147105645,366.637260900872,367.026573047978,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-08-29,2.35089426544769,"Poor",0.790651486784197,322.417252399013,323.207903885797,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-08-30,2.40234995789195,"Marginal",0.920467501758929,283.776770625841,284.6972381276,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141010-15",141010,0.0541979341495261,0,9301.27828701162,"Intermediate",40,2015-08-31,2.48084177422627,"Marginal",2.18099833640456,186.114535492345,188.29553382875,6.59316305,1,"Yes",238.1838421,172.41541,7,45.3990038667107
"141060-15",141060,0.195343407604389,0.00703139511123541,2672.51169744871,"Resident",18,2015-07-15,2.94765600678561,"Excellent",26.6535957869372,10.4817647471084,37.1353605340456,8.566667539,1,"Yes",284.6522162,196.0359186,6,79.1181963980026
